,results
0,900.5438522690371
1,1278.1592021770557
2,958.666855691891
3,1614.3881249729654
4,1030.703157265973
5,911.1806632897724
6,1166.4668306648791
7,975.1582965155707
8,900.9086480382689
9,1213.268654786666
10,902.3366836513494
11,911.0905675159225
12,1670.9538745284774
13,904.9999822742363
14,905.3644087569685
15,902.1820706902457
16,1282.1336627989112
17,900.0000007425067
18,1026.4177064367327
19,962.3935212216483
20,1086.8001909968502
21,909.9992265204188
22,910.632607096499
23,907.1814009778537
24,904.4287741637255
25,1142.1448225075676
26,900.0000000003954
27,909.5424461817444
28,912.0214746224312
29,908.9745737881391
30,1276.872378005652
31,917.2700699564573
32,930.0118729349097
33,915.9074875783585
34,1237.3235513001077
35,939.6528050052448
36,924.5415821697567
37,928.974733546259
38,930.3108124305791
39,904.9999828475148
40,1159.014000216108
41,900.0000000000028
42,905.1349033539495
43,920.0881858932369
44,910.7688066674607
45,1001.3865781210557
46,1073.2283695893757
47,919.0919864861943
48,929.8155075693892
49,918.4747439557011
50,900.089532163401
51,900.4543242824782
52,1454.1072842914223
53,945.071973669764
54,1161.383038551959
55,908.2220602547575
56,921.6378469892691
57,901.8173376747843
58,902.1820707057087
59,901.7277466835934
60,1214.9352615309963
61,902.9974059771281
62,1026.407848128792
63,904.5823914998045
64,919.1343602750887
65,915.3154095167591
66,903.9744501432755
67,934.0811930377533
68,945.3356308646506
69,950.6236075659748
70,917.6668612713295
71,908.1254337199242
72,903.5450216006842
73,900.4543240197114
74,1031.2521220890624
75,900.0000000000033
76,900.5438522690139
77,940.0879766648919
78,1079.6779684924823
79,1047.9384298051566
80,900.4543240397649
81,909.4924390786878
82,900.0000000001294
83,909.1560321565495
84,904.1535067639893
85,1213.6575523043753
86,919.6374764439134
87,1571.0347135069997
88,917.3391607733591
89,935.3624053727934
90,900.0000000853282
91,1122.086371741434
92,1171.4795225302234
93,905.9981586628921
94,900.0000000537325
95,901.8216860495385
96,913.5439011723082
97,903.2722356104758
98,1001.1846455217981
99,915.3643086642883
