,reward
0,-200
1,-200
2,-200
3,-200
4,7
5,-200
6,-200
7,10
8,-200
9,-200
10,-200
11,-200
12,-200
13,-200
14,10
15,-200
16,-200
17,7
18,9
19,-200
20,-200
21,-200
22,-200
23,12
24,-200
25,-200
26,-200
27,12
28,-200
29,15
30,-200
31,-200
32,-200
33,13
34,12
35,-200
36,8
37,-200
38,-200
39,-200
40,-200
41,-200
42,-200
43,-200
44,-200
45,-200
46,-200
47,11
48,-200
49,8
50,-200
51,-200
52,-200
53,-200
54,9
55,7
56,8
57,13
58,8
59,-200
60,14
61,-200
62,-200
63,-200
64,-200
65,12
66,-200
67,-200
68,11
69,-200
70,-200
71,-200
72,10
73,8
74,-200
75,-200
76,-200
77,-200
78,9
79,14
80,-200
81,-200
82,-200
83,-200
84,-200
85,-200
86,-200
87,-200
88,11
89,-200
90,7
91,14
92,-200
93,-200
94,-200
95,-200
96,-200
97,-200
98,-200
99,11
100,-200
101,-200
102,12
103,11
104,-200
105,-200
106,-200
107,13
108,-200
109,7
110,-200
111,9
112,-200
113,-200
114,-200
115,-200
116,-200
117,-200
118,-200
119,-200
120,-200
121,-200
122,-200
123,9
124,8
125,8
126,-200
127,-200
128,-200
129,-200
130,7
131,-200
132,9
133,-200
134,-200
135,14
136,-200
137,-200
138,-200
139,-200
140,-200
141,-200
142,-200
143,15
144,-200
145,-200
146,-200
147,-200
148,-200
149,12
150,-200
151,-200
152,-200
153,-200
154,-200
155,-200
156,-200
157,-200
158,-200
159,-200
160,9
161,-200
162,8
163,-200
164,-200
165,-200
166,-200
167,-200
168,13
169,12
170,9
171,-200
172,-200
173,11
174,9
175,-200
176,-200
177,-200
178,12
179,-200
180,11
181,-200
182,8
183,9
184,-200
185,-200
186,-200
187,14
188,-200
189,-200
190,10
191,-200
192,-200
193,-200
194,-200
195,14
196,-200
197,-200
198,8
199,-200
200,-200
201,-200
202,-200
203,7
204,-200
205,-200
206,9
207,-200
208,9
209,-200
210,9
211,-200
212,-200
213,-200
214,-200
215,-200
216,-200
217,11
218,-200
219,11
220,-200
221,-200
222,-200
223,-200
224,-200
225,-200
226,-200
227,-200
228,-200
229,-200
230,-200
231,-200
232,-200
233,11
234,-200
235,-200
236,-200
237,10
238,13
239,-200
240,-200
241,-200
242,-200
243,-200
244,10
245,-200
246,8
247,-200
248,-200
249,13
250,-200
251,-200
252,-200
253,8
254,-200
255,-200
256,10
257,-200
258,-200
259,12
260,8
261,-200
262,11
263,-200
264,14
265,11
266,-200
267,-200
268,-200
269,-200
270,-200
271,-200
272,-200
273,-200
274,7
275,-200
276,-200
277,-200
278,10
279,-200
280,-200
281,-200
282,-200
283,-200
284,-200
285,-200
286,-200
287,-200
288,-200
289,-200
290,11
291,-200
292,8
293,7
294,-200
295,-200
296,7
297,11
298,-200
299,-200
300,-200
301,-200
302,8
303,-200
304,-200
305,14
306,-200
307,9
308,-200
309,-200
310,-200
311,-200
312,-200
313,-200
314,-200
315,-200
316,-200
317,-200
318,-200
319,-200
320,11
321,-200
322,-200
323,9
324,-200
325,-200
326,-200
327,9
328,-200
329,-200
330,-200
331,-200
332,-200
333,-200
334,-200
335,11
336,-200
337,-200
338,12
339,-200
340,-200
341,11
342,-200
343,-200
344,-200
345,8
346,-200
347,-200
348,-200
349,-200
350,8
351,-200
352,-200
353,13
354,-200
355,-200
356,9
357,-200
358,-200
359,10
360,-200
361,-200
362,-200
363,-200
364,-200
365,15
366,-200
367,-200
368,-200
369,-200
370,-200
371,-200
372,-200
373,-200
374,-200
375,-200
376,9
377,-200
378,-200
379,-200
380,-200
381,8
382,-200
383,-200
384,9
385,10
386,13
387,-200
388,-200
389,-200
390,-200
391,-200
392,-200
393,-200
394,8
395,11
396,-200
397,-200
398,-200
399,-200
400,-200
401,-200
402,-200
