,reward
799,4
800,8
801,11
802,11
803,8
804,7
805,3
806,9
807,8
808,8
809,12
810,6
811,7
812,11
813,9
814,8
815,10
816,8
817,11
818,10
819,15
820,6
821,7
822,5
823,10
824,9
825,9
826,11
827,11
828,5
829,13
830,6
831,7
832,8
833,8
834,12
835,13
836,5
837,8
838,9
839,7
840,10
841,8
842,7
843,6
844,9
845,7
846,7
847,4
848,11
849,11
850,9
851,8
852,7
853,4
854,8
855,9
856,7
857,8
858,9
859,11
860,10
861,11
862,11
863,5
864,6
865,7
866,4
867,10
868,13
869,5
870,8
871,10
872,3
873,5
874,6
875,7
876,8
877,7
878,4
879,5
880,7
881,7
882,6
883,12
884,7
885,6
886,7
887,8
888,5
889,5
890,7
891,7
892,9
893,8
894,6
895,6
896,6
897,14
898,8
899,6
900,3
901,7
902,10
903,7
904,5
905,10
906,4
907,6
908,9
909,8
910,12
911,7
912,9
913,7
914,7
915,11
916,10
917,12
918,6
919,5
920,5
921,5
922,11
923,10
924,14
925,8
926,7
927,9
928,9
929,5
930,8
931,12
932,9
933,11
934,3
935,12
936,4
937,10
938,3
939,8
940,6
941,11
942,13
943,8
944,10
945,8
946,6
947,8
948,4
949,8
950,4
951,12
952,8
953,9
954,10
955,10
956,8
957,11
958,6
959,13
960,9
961,5
962,4
963,13
964,5
965,8
966,8
967,10
968,7
969,7
970,5
971,11
972,4
973,11
974,10
975,3
976,9
977,8
978,5
979,8
980,7
981,6
982,10
983,3
984,5
985,7
986,4
987,7
988,6
989,9
990,9
991,12
992,5
993,11
994,7
995,11
996,3
997,5
998,6
999,9
