,reward
709,-200
710,8
711,-200
712,9
713,4
714,-200
715,6
716,9
717,-200
718,5
719,5
720,10
721,-200
722,-200
723,5
724,-200
725,-200
726,5
727,-200
728,4
729,-200
730,-200
731,5
732,-200
733,-200
734,-200
735,-200
736,-200
737,-200
738,7
739,-200
740,-200
741,-200
742,9
743,5
744,-200
745,12
746,-200
747,7
748,3
749,8
750,4
751,3
752,3
753,6
754,-200
755,-200
756,3
757,-200
758,-200
759,10
760,-200
761,7
762,-200
763,-200
764,5
765,-200
766,-200
767,-200
768,6
769,6
770,13
771,-200
772,8
773,-200
774,7
775,4
776,-200
777,3
778,3
779,-200
780,5
781,-200
782,6
783,9
784,-200
785,-200
786,7
787,7
788,-200
789,8
790,-200
791,-200
792,-200
793,7
794,5
795,-200
796,-200
797,8
798,9
799,-200
800,2
801,-200
802,4
803,9
804,5
805,-200
806,5
807,11
808,9
809,5
810,-200
811,4
812,-200
813,8
814,-200
815,-200
816,-200
817,-200
818,-200
819,-200
820,10
821,1
822,-200
823,-200
824,-200
825,6
826,8
827,6
828,8
829,-200
830,7
831,4
832,-200
833,-200
834,3
835,8
836,5
837,-200
838,4
839,4
840,6
841,5
842,4
843,4
844,-200
845,8
846,7
847,-200
848,-200
849,9
850,-200
851,2
852,9
853,5
854,-200
855,10
856,-200
857,9
858,4
859,-200
860,-200
861,-200
862,-200
863,-200
864,-200
865,-200
866,-200
867,-200
868,-200
869,6
870,3
871,-200
872,3
873,4
874,6
875,6
876,-200
877,11
878,-200
879,6
880,-200
881,-200
882,12
883,1
884,10
885,-200
886,5
887,1
888,3
889,1
890,14
891,-200
892,-200
893,10
894,-200
895,-200
896,-200
897,-200
898,-200
899,5
900,-200
901,-200
902,8
903,13
904,-200
905,-200
906,-200
907,-200
908,-200
909,-200
910,-200
911,-200
912,-200
913,9
914,4
915,-200
916,-200
917,7
918,-200
919,7
920,-200
921,5
922,6
923,0
924,-200
925,7
926,9
927,13
928,-200
929,9
930,-200
931,-200
932,-200
933,-200
934,-200
935,-200
936,10
937,-200
938,-200
939,-200
940,-200
941,5
942,-200
943,-200
944,10
945,3
946,12
947,-200
948,5
949,-200
950,6
951,-200
952,-200
953,-200
954,-200
955,5
956,-200
957,5
958,-200
959,4
960,4
961,-200
962,-200
963,-200
964,3
965,5
966,11
967,3
968,6
969,-200
970,-200
971,3
972,5
973,-200
974,-200
975,10
976,-200
977,7
978,-200
979,-200
980,2
981,-200
982,-200
983,10
984,4
985,-200
986,-200
987,5
988,7
989,-200
990,-200
991,6
992,12
993,-200
994,7
995,-200
996,-200
997,6
998,4
999,-200
