,reward
660,-200
661,-200
662,-200
663,-200
664,10
665,-200
666,-200
667,-200
668,-200
669,-200
670,-200
671,-200
672,-200
673,-200
674,-200
675,-200
676,-200
677,11
678,-200
679,-200
680,-200
681,-200
682,-200
683,9
684,-200
685,-200
686,-200
687,-200
688,8
689,-200
690,-200
691,-200
692,-200
693,-200
694,-200
695,-200
696,-200
697,-200
698,-200
699,8
700,10
701,-200
702,-200
703,-200
704,6
705,-200
706,-200
707,-200
708,-200
709,-200
710,-200
711,9
712,-200
713,-200
714,-200
715,-200
716,-200
717,-200
718,-200
719,-200
720,-200
721,-200
722,-200
723,7
724,-200
725,-200
726,-200
727,-200
728,-200
729,-200
730,-200
731,-200
732,10
733,-200
734,-200
735,-200
736,-200
737,-200
738,-200
739,-200
740,-200
741,-200
742,-200
743,-200
744,-200
745,11
746,-200
747,-200
748,12
749,-200
750,6
751,-200
752,-200
753,-200
754,-200
755,-200
756,-200
757,-200
758,-200
759,-200
760,-200
761,-200
762,8
763,-200
764,11
765,-200
766,8
767,-200
768,-200
769,-200
770,-200
771,-200
772,-200
773,-200
774,-200
775,-200
776,7
777,-200
778,-200
779,-200
780,-200
781,-200
782,-200
783,-200
784,-200
785,-200
786,-200
787,12
788,-200
789,-200
790,-200
791,7
792,-200
793,-200
794,13
795,-200
796,-200
797,-200
798,14
799,10
800,-200
801,-200
802,8
803,-200
804,-200
805,-200
806,-200
807,-200
808,-200
809,8
810,-200
811,6
812,-200
813,-200
814,-200
815,-200
816,-200
817,-200
818,-200
819,-200
820,6
821,-200
822,-200
823,-200
824,-200
825,-200
826,-200
827,-200
828,-200
829,-200
830,-200
831,8
832,-200
833,-200
834,-200
835,-200
836,-200
837,-200
838,-200
839,-200
840,-200
841,-200
842,-200
843,-200
844,8
845,-200
846,7
847,-200
848,-200
849,-200
850,-200
851,-200
852,-200
853,10
854,-200
855,-200
856,9
857,-200
858,-200
859,-200
860,-200
861,7
862,-200
863,-200
864,-200
865,-200
866,-200
867,9
868,9
869,-200
870,-200
871,-200
872,-200
873,-200
874,-200
875,-200
876,-200
877,-200
878,-200
879,7
880,10
881,-200
882,-200
883,-200
884,-200
885,-200
886,-200
887,-200
888,-200
889,-200
890,-200
891,-200
892,-200
893,-200
894,-200
895,11
896,9
897,-200
898,-200
899,-200
900,-200
901,8
902,-200
903,-200
904,-200
905,-200
906,7
907,-200
908,-200
909,-200
910,8
911,-200
912,9
913,-200
914,-200
915,14
916,-200
917,-200
918,-200
919,-200
920,-200
921,-200
922,7
923,-200
924,-200
925,-200
926,-200
927,-200
928,7
929,-200
930,-200
931,8
932,-200
933,7
934,-200
935,14
936,-200
937,-200
938,15
939,13
940,-200
941,-200
942,-200
943,-200
944,-200
945,-200
946,-200
947,-200
948,-200
949,-200
950,-200
951,10
952,-200
953,-200
954,-200
955,-200
956,-200
957,8
958,-200
959,-200
960,-200
961,-200
962,6
963,-200
964,-200
965,-200
966,-200
967,-200
968,-200
969,-200
970,-200
971,-200
972,-200
973,-200
974,-200
975,-200
976,-200
977,-200
978,-200
979,-200
980,-200
981,-200
982,-200
983,-200
984,-200
985,9
986,9
987,-200
988,-200
989,-200
990,-200
991,9
992,-200
993,12
994,-200
995,-200
996,-200
997,-200
998,11
999,-200
