,0,1,2,3,4,5,6,7,8,9
0,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
2,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
5,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
7,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
8,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
9,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
10,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
11,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
12,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
13,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
14,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
15,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
16,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
17,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
18,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
20,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
22,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
23,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
24,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
25,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
26,-200,-200,-200,-200,-200,7,-200,-200,-200,3
27,8,5,-200,-200,-200,-200,-200,-200,-200,-200
28,-200,-200,6,-200,-200,-200,-200,-200,-200,-200
29,11,-200,-200,-200,-200,-200,-200,-200,-200,-200
30,-200,14,9,-200,-200,11,-200,-200,-200,8
31,-200,-200,-200,-200,-200,-200,-200,7,9,-200
32,10,-200,-200,-200,-200,-200,-200,9,8,-200
33,-200,-200,11,-200,-200,-200,10,12,-200,9
34,-200,5,-200,-200,-200,-200,-200,5,-200,-200
35,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
36,10,11,-200,-200,-200,14,7,-200,11,14
37,13,-200,-200,8,5,7,-200,-200,10,9
38,-200,-200,-200,11,-200,15,9,10,15,-200
39,10,5,-200,12,-200,8,-200,-200,-200,7
40,-200,13,-200,-200,-200,-200,-200,-200,-200,-200
41,-200,6,14,9,7,-200,-200,8,9,8
42,-200,-200,8,11,10,-200,-200,-200,-200,7
43,-200,-200,-200,-200,-200,-200,13,-200,10,-200
44,-200,7,7,-200,-200,-200,8,-200,-200,10
45,-200,-200,11,7,-200,-200,-200,10,-200,-200
46,-200,-200,-200,-200,-200,-200,9,-200,15,-200
47,-200,-200,6,8,-200,14,8,-200,-200,2
48,-200,-200,-200,-200,9,-200,-200,-200,-200,-200
49,-200,-200,12,-200,-200,10,-200,-200,10,-200
50,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
51,9,-200,-200,-200,9,8,9,8,-200,-200
52,7,-200,10,-200,-200,-200,-200,-200,-200,-200
53,-200,-200,8,-200,-200,-200,14,-200,8,9
54,11,-200,-200,-200,-200,-200,-200,11,9,-200
55,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
56,9,-200,-200,-200,-200,-200,-200,10,-200,14
57,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
58,-200,15,-200,-200,-200,-200,-200,-200,-200,15
59,-200,-200,-200,-200,12,-200,-200,-200,-200,-200
60,-200,-200,10,9,-200,-200,-200,-200,-200,8
61,-200,-200,-200,-200,-200,-200,-200,11,-200,-200
62,14,-200,-200,11,8,-200,-200,-200,-200,11
63,-200,-200,-200,-200,10,-200,-200,-200,-200,-200
64,-200,12,-200,-200,-200,9,11,-200,-200,-200
65,-200,-200,9,-200,11,10,-200,-200,8,-200
66,9,-200,-200,-200,-200,-200,-200,-200,-200,7
67,11,-200,9,-200,-200,-200,-200,-200,10,-200
68,-200,10,-200,-200,-200,-200,-200,-200,-200,-200
69,9,-200,-200,-200,-200,7,8,-200,-200,9
70,-200,-200,-200,-200,-200,-200,-200,10,-200,-200
71,9,8,-200,-200,10,-200,-200,-200,15,9
72,-200,9,-200,-200,-200,-200,11,-200,-200,-200
73,-200,8,-200,-200,-200,-200,-200,-200,9,-200
74,-200,-200,-200,9,-200,7,-200,13,-200,12
75,-200,-200,-200,-200,-200,-200,10,-200,-200,-200
76,-200,-200,-200,9,-200,7,11,-200,8,-200
77,12,-200,-200,-200,-200,-200,10,7,9,-200
78,-200,10,-200,7,4,12,10,6,-200,8
79,13,-200,-200,7,-200,11,9,7,-200,6
80,-200,10,9,-200,14,14,-200,6,-200,8
81,4,-200,9,-200,-200,9,9,-200,-200,6
82,-200,-200,7,9,10,14,13,8,5,-200
83,9,-200,11,-200,-200,7,-200,-200,10,9
84,10,-200,11,12,11,5,7,10,12,9
