,reward
0,15
1,8
2,8
3,7
4,10
5,4
6,10
7,6
8,3
9,3
10,4
11,10
12,4
13,9
14,5
15,7
16,13
17,5
18,10
19,11
20,11
21,7
22,9
23,14
24,7
25,7
26,8
27,7
28,8
29,6
30,8
31,5
32,10
33,4
34,8
35,11
36,12
37,5
38,8
39,9
40,5
41,8
42,4
43,11
44,6
45,5
46,10
47,8
48,10
49,8
50,7
51,8
52,10
53,4
54,8
55,5
56,6
57,11
58,5
59,6
60,12
61,4
62,15
63,12
64,5
65,9
66,6
67,10
68,4
69,8
70,11
71,14
72,9
73,5
74,7
75,11
76,5
77,10
78,9
79,12
80,4
81,11
82,3
83,7
84,10
85,9
86,8
87,13
88,10
89,7
90,10
91,10
92,9
93,8
94,13
95,9
96,9
97,10
98,8
99,3
100,10
101,6
102,4
103,11
104,4
105,7
106,6
107,10
108,5
109,5
110,9
111,6
112,9
113,6
114,6
115,7
116,9
117,9
118,12
119,9
120,8
121,4
122,10
123,13
124,4
125,5
126,9
127,8
128,8
129,9
130,6
131,6
132,3
133,9
134,9
135,9
136,6
137,8
138,7
139,4
140,5
141,11
142,5
143,11
144,8
145,7
146,14
147,13
148,7
149,5
150,11
151,9
152,6
153,3
154,8
155,9
156,4
157,5
158,5
159,7
160,10
161,13
162,6
163,11
164,4
165,9
166,10
167,10
168,8
169,10
170,12
171,8
172,7
173,11
174,9
175,10
176,9
177,9
178,9
179,8
180,8
181,6
182,7
183,13
184,5
185,6
186,13
187,9
188,11
189,5
190,11
191,5
192,9
193,11
194,7
195,7
196,5
197,6
198,14
199,11
200,8
201,8
202,6
203,10
204,7
205,5
206,12
207,5
208,8
209,12
210,7
211,9
212,4
213,4
214,11
215,4
216,3
217,9
218,14
219,7
220,9
221,11
222,5
223,6
224,5
225,7
226,5
227,13
228,6
229,8
230,11
231,3
232,8
233,9
234,7
235,6
236,8
237,8
238,10
239,6
240,5
241,11
242,8
243,10
244,9
245,8
246,10
247,8
248,11
249,5
250,7
251,3
252,5
253,6
254,8
255,15
256,8
257,5
258,6
259,6
260,7
261,8
262,5
263,7
264,5
265,7
266,6
267,4
268,6
269,7
270,7
271,5
272,5
273,10
274,5
275,10
276,9
277,6
278,15
279,4
280,7
281,11
282,7
283,8
284,4
285,4
286,10
287,6
288,5
289,7
290,10
291,5
292,6
293,7
294,9
295,6
296,7
297,7
298,4
299,7
300,4
301,11
302,7
303,6
304,5
305,7
306,7
307,5
308,9
309,5
310,6
311,7
312,5
313,8
314,11
315,6
316,7
317,10
318,8
319,12
320,13
321,10
322,10
323,9
324,8
325,7
326,6
327,11
328,6
329,11
330,9
331,6
332,10
333,8
334,11
335,9
336,6
337,7
338,7
339,9
340,11
341,10
342,5
343,8
344,4
345,5
346,11
347,6
348,8
349,6
350,7
351,4
352,7
353,8
354,12
355,7
356,3
357,8
358,13
359,12
360,9
361,5
362,5
363,7
364,4
365,7
366,8
367,8
368,8
369,7
370,8
371,8
372,9
373,5
374,5
375,8
376,6
377,7
378,10
379,4
380,7
381,5
382,9
383,7
384,8
385,12
386,8
387,5
388,9
389,11
390,13
391,3
392,14
393,10
394,9
395,6
396,5
397,7
398,9
399,9
400,9
401,5
402,6
403,10
404,15
405,7
406,8
407,8
408,5
409,6
410,4
411,6
412,9
413,7
414,11
415,10
416,9
417,8
418,5
419,7
420,10
421,7
422,7
423,8
424,8
425,8
426,6
427,4
428,3
429,9
430,10
431,11
432,4
433,5
434,8
435,11
436,5
437,4
438,4
439,9
440,5
441,4
442,4
443,12
444,11
445,6
446,5
447,14
448,9
449,11
450,6
451,4
452,7
453,10
454,5
455,7
456,7
457,6
458,6
459,9
460,12
461,9
462,9
463,7
464,7
465,7
466,10
467,11
468,11
469,6
470,10
471,14
472,5
473,7
474,13
475,10
476,8
477,8
478,4
479,9
480,6
481,4
482,7
483,7
484,8
485,5
486,10
487,12
488,9
489,8
490,6
491,4
492,5
493,4
494,9
495,10
496,8
497,8
498,11
499,11
500,10
501,10
502,7
503,10
504,8
505,15
506,6
507,7
508,7
509,7
510,4
511,13
512,11
513,6
514,7
515,7
516,7
517,5
518,11
519,5
520,10
521,6
522,11
523,8
524,5
525,10
526,9
527,7
528,10
529,9
530,10
531,10
532,5
533,11
534,7
535,9
536,12
537,8
538,5
539,6
540,6
541,10
542,7
543,11
544,7
545,8
546,4
547,9
548,7
549,9
550,9
551,6
552,4
553,4
554,12
555,5
556,7
557,9
558,10
559,5
560,5
561,8
562,6
563,7
564,8
565,8
566,8
567,8
568,4
569,4
570,12
571,7
572,5
573,7
574,6
575,7
576,7
577,8
578,4
579,7
580,8
581,10
582,13
583,11
584,9
585,7
586,9
587,9
588,6
589,10
590,10
591,7
592,6
593,8
594,8
595,9
596,8
597,5
598,10
599,11
600,7
601,3
602,7
603,11
604,14
605,5
606,5
607,5
608,10
609,6
610,11
611,14
612,9
613,9
614,10
615,6
616,10
617,4
618,8
619,3
620,5
621,5
622,6
623,5
624,6
625,6
626,14
627,4
628,4
629,7
630,11
631,8
632,6
633,10
634,7
635,5
636,9
637,9
638,15
639,10
640,9
641,9
642,7
643,8
644,9
645,13
646,8
647,9
648,12
649,9
650,8
651,8
652,8
653,8
654,7
655,4
656,12
657,4
658,6
659,11
660,6
661,3
662,6
663,4
664,11
665,7
666,7
667,8
668,9
669,8
670,10
671,6
672,9
673,10
674,8
675,13
676,9
677,5
678,9
679,10
680,8
681,9
682,10
683,11
684,10
685,10
686,10
687,6
688,8
689,5
690,9
691,14
692,6
693,8
694,8
695,6
696,3
697,14
698,6
699,3
700,12
701,13
702,10
703,5
704,8
705,13
706,8
707,6
708,8
709,8
710,8
711,5
712,5
713,4
714,3
715,9
716,9
717,7
718,11
719,10
720,10
721,10
722,9
723,7
724,4
725,10
726,8
727,4
728,6
729,5
730,6
731,6
732,8
733,9
734,7
735,10
736,10
737,7
738,6
739,6
740,7
741,6
742,6
743,4
744,10
745,5
746,8
747,9
748,10
749,10
750,6
751,8
752,4
753,9
754,9
755,4
756,7
757,10
758,7
759,7
760,10
761,7
762,8
763,9
764,10
765,4
766,10
767,5
768,8
769,14
770,7
771,8
772,6
773,4
774,10
775,4
776,6
777,9
778,6
779,6
780,13
781,7
782,5
783,9
784,14
785,7
786,9
787,6
788,7
789,8
790,12
791,11
792,8
793,8
794,7
795,5
796,7
797,8
798,8
799,14
800,10
801,10
802,7
803,8
804,10
805,7
806,8
807,5
808,7
809,6
810,8
811,5
812,8
813,6
814,12
815,6
816,9
817,8
818,10
819,6
820,9
821,8
822,7
823,7
824,12
825,12
826,14
827,3
828,5
829,9
830,7
831,9
832,10
833,10
834,6
835,8
836,4
837,7
838,13
839,4
840,10
841,10
842,10
843,6
844,7
845,13
846,9
847,8
848,13
849,10
850,7
851,4
852,10
853,13
854,4
855,7
856,10
857,8
858,9
859,9
860,9
861,6
862,10
863,5
864,10
865,6
866,4
867,8
868,7
869,9
870,9
871,9
872,8
873,5
874,4
875,8
876,14
877,7
878,7
879,9
880,8
881,8
882,7
883,8
884,7
885,11
886,8
887,9
888,12
889,7
890,10
891,9
892,9
893,8
894,8
895,14
896,5
897,5
898,4
899,7
900,3
901,5
902,3
903,11
904,7
905,4
906,9
907,3
908,6
909,5
910,10
911,6
912,7
913,11
914,6
915,9
916,9
917,7
918,6
919,5
920,5
921,15
922,8
923,7
924,6
925,9
926,6
927,8
928,10
929,5
930,8
931,6
932,5
933,8
934,10
935,7
936,7
937,8
938,15
939,12
940,9
941,8
942,12
943,6
944,9
945,6
946,11
947,6
948,8
949,4
950,8
951,10
952,6
953,4
954,7
955,5
956,7
957,5
958,7
959,12
960,11
961,14
962,12
963,7
964,8
965,9
966,7
967,9
968,10
969,4
970,13
971,4
972,11
973,10
974,7
975,7
976,9
977,8
978,5
979,8
980,10
981,9
982,10
983,6
984,10
985,4
986,6
987,5
988,12
989,6
990,5
991,6
992,8
993,11
994,8
995,6
996,14
997,7
998,7
999,8
