,reward
0,10
1,8
2,8
3,8
4,13
5,5
6,4
7,8
8,6
9,5
10,10
11,8
12,8
13,4
14,7
15,9
16,4
17,9
18,10
19,12
20,8
21,5
22,11
23,9
24,7
25,6
26,5
27,9
28,7
29,10
30,3
31,7
32,6
33,6
34,4
35,11
36,7
37,7
38,9
39,6
40,7
41,6
42,11
43,8
44,4
45,8
46,11
47,5
48,10
49,7
50,9
51,11
52,11
53,11
54,3
55,6
56,13
57,7
58,8
59,7
60,9
61,-200
62,7
63,13
64,6
65,4
66,10
67,14
68,8
69,12
70,7
71,10
72,5
73,6
74,9
75,9
76,9
77,3
78,8
79,9
80,5
81,4
82,4
83,7
84,10
85,8
86,6
87,5
88,-200
89,9
90,7
91,8
92,11
93,10
94,9
95,12
96,6
97,6
98,11
99,8
100,-200
101,11
102,10
103,9
104,11
105,-200
106,10
107,9
108,7
109,6
110,10
111,10
112,11
113,6
114,9
115,11
116,9
117,5
118,11
119,11
120,12
121,11
122,7
123,7
124,6
125,8
126,9
127,9
128,-200
129,11
130,7
131,5
132,11
133,8
134,-200
135,10
136,4
137,8
138,6
139,6
140,11
141,6
142,12
143,9
144,13
145,11
146,11
147,6
148,8
149,5
150,7
151,-200
152,8
153,10
154,13
155,-200
156,10
157,8
158,5
159,10
160,8
161,4
162,8
163,9
164,12
165,5
166,12
167,9
168,9
169,-200
170,11
171,7
172,7
173,6
174,7
175,10
176,6
177,9
178,13
179,6
180,7
181,7
182,6
183,6
184,7
185,6
186,9
187,10
188,7
189,7
190,6
191,10
192,7
193,9
194,10
195,8
196,10
197,11
198,7
199,6
200,7
201,6
202,10
203,7
204,5
205,9
206,-200
207,5
208,14
209,11
210,8
211,11
212,13
213,11
214,12
215,8
216,8
217,6
218,7
219,4
220,-200
221,-200
222,15
223,7
224,12
225,9
226,11
227,10
228,5
229,5
230,6
231,5
232,11
233,9
234,8
235,11
236,8
237,8
238,6
239,5
240,-200
241,9
242,9
243,6
244,8
245,8
246,4
247,5
248,7
249,6
250,6
251,12
252,6
253,9
254,7
255,8
256,11
257,9
258,11
259,10
260,7
261,8
262,5
263,10
264,6
265,10
266,4
267,5
268,8
269,12
270,12
271,8
272,8
273,4
274,10
275,13
276,-200
277,4
278,6
279,13
280,10
281,12
282,9
283,9
284,3
285,9
286,4
287,6
288,9
289,6
290,10
291,8
292,10
293,11
294,8
295,10
296,8
297,8
298,9
299,15
300,7
301,9
302,14
303,5
304,11
305,7
306,6
307,7
308,7
309,10
310,11
311,9
312,14
313,7
314,5
315,10
316,10
317,8
318,9
319,6
320,9
321,8
322,7
323,8
324,9
325,12
326,7
327,12
328,4
329,6
330,7
331,5
332,8
333,10
334,7
335,6
336,10
337,8
338,9
339,9
340,7
341,12
342,11
343,9
344,7
345,10
346,8
347,9
348,10
349,9
350,5
351,6
352,9
353,7
354,5
355,9
356,7
357,10
358,7
359,6
360,8
361,11
362,11
363,12
364,8
365,7
366,8
367,6
368,5
369,11
370,4
371,5
372,7
373,9
374,11
375,4
376,11
377,6
378,7
379,5
380,9
381,10
382,7
383,7
384,5
385,4
386,9
387,10
388,-200
389,-200
390,9
391,6
392,5
393,5
394,7
395,12
396,5
397,12
398,6
399,12
400,8
401,4
402,8
403,13
404,5
405,8
406,6
407,9
408,10
409,10
410,11
411,7
412,6
413,10
414,9
415,9
416,8
417,5
418,11
419,6
420,7
421,9
422,14
423,9
424,9
425,8
426,13
427,7
428,10
429,7
430,7
431,6
432,4
433,5
434,8
435,9
436,6
437,7
438,9
439,9
440,7
441,12
442,6
443,9
444,11
445,7
446,8
447,8
448,11
449,5
450,7
451,5
452,11
453,4
454,-200
455,12
456,5
457,9
458,7
459,5
460,8
461,5
462,8
463,11
464,5
465,10
466,6
467,13
468,6
469,9
470,9
471,8
472,9
473,10
474,13
475,15
476,10
477,11
478,13
479,6
480,13
481,8
482,10
483,7
484,8
485,-200
486,8
487,8
488,8
489,7
490,11
491,9
492,-200
493,5
494,5
495,6
496,10
497,8
498,6
499,8
500,7
501,3
502,9
503,12
504,8
505,4
506,9
507,7
508,7
509,8
510,7
511,11
512,7
513,5
514,9
515,8
516,5
517,9
518,12
519,11
520,5
521,7
522,9
523,6
524,13
525,10
526,11
527,5
528,5
529,9
530,10
531,8
532,10
533,9
534,11
535,-200
536,13
537,11
538,11
539,6
540,5
541,5
542,8
543,9
544,10
545,4
546,7
547,5
548,10
549,10
550,-200
551,6
552,11
553,8
554,6
555,13
556,7
557,4
558,11
559,5
560,3
561,11
562,7
563,8
564,8
565,7
566,14
567,10
568,7
569,8
570,9
571,11
572,8
573,4
574,5
575,8
576,3
577,8
578,9
