,name,min,max,mean,std
3,(µ=100)+(λ=700) u,101.1809824852676,3411285.848302063,172339.98006229493,762371.656639846
5,(µ=100)+(λ=700) m,107.102616257872,29493.680544576742,5623.111764827568,7248.925652783041
0,(µ=20)+(λ=140) u,183.87851940966985,146349229.26986864,11006585.8751428,35777226.921805374
1,(µ=20)+(λ=140) m,210.2998144822428,1614505.0524985632,97634.72175052526,359635.3459717195
4,"(µ=100),(λ=700) u",564.5025970426246,28567575.06084639,6156719.225333426,8857807.973780224
2,"(µ=20),(λ=140) u",6779.129615087194,9648641473.623354,1010741916.1492851,2214820120.732232
