,name,min,max,mean,std
4,Roulette selection σ=0.0001,101.05779570343152,20719.51931258391,5172.876052873462,5481.259251650261
2,Mean crossover σ=0.0001,186.7375416580488,47742.33378804311,7563.887440621302,11352.958059964647
3,Non elite selection σ=0.0001,4418.046568378511,163745797714.30835,13067465731.800192,39096485454.65517
1,Uniform crossover σ=0.5,1541970.7626821937,4896613.069564604,3373008.5697871624,926768.0544275615
0,No crossover σ=0.5,2117081.209261908,5346653.115119833,3841441.671343641,862956.3705616677
