,name,min,max,mean,std
5,(µ=100)+(λ=700) m,900.0000000000025,1915.176729814007,1006.7161037000157,243.13923678157747
2,(µ=100)+(λ=700) u,900.0000000055949,952.1350177576204,911.0770346669267,15.598854268038393
1,"(µ=20),(λ=140) u",900.0199456000153,1258.7251692074965,972.0980835702587,116.44133102537222
0,(µ=20)+(λ=140) u,900.1085974137565,1089.9331395463398,941.8127254945082,55.63683094933032
3,"(µ=20),(λ=140) m",900.1120887318679,2739.8976705144823,1435.7763770878953,630.7524186103395
4,(µ=20)+(λ=140) m,946.7864899962806,2226.711131057524,1460.8272134227252,334.28958740576957
