,name,min,max,mean,std
0,gradient descent(backtrack) β=2.5,100.0001074135773,25165.82193845532,3680.0176440147548,4483.342274170728
1,(µ=100)+(λ=700),100.02468953484237,8742.080012302267,1691.6238637233591,1808.5702797045954
2,Classic evolution,100.3821033315339,37645.17893962265,6824.541620403773,8331.60327127285
