"","p1_depth","p2_depth","result","time","0","1","2","3","4","5","6","7","8","9"
1050,8,8,"draw",4.065684056999999,"         ","    x    ","o   x    ","o  xx    ","o  xxo   ","ox xxo   ","ox xxo o ","ox xxoxo ","oxoxxoxo ","oxoxxoxox"
1051,8,8,"draw",4.110964505999959,"         ","    x    ","  o x    "," xo x    "," xo x  o "," xoxx  o "," xoxxo o "," xoxxo ox","oxoxxo ox","oxoxxoxox"
1052,8,8,"draw",4.078151515000059,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o xxx o  ","o xxxoo  ","o xxxoox ","ooxxxoox ","ooxxxooxx"
1053,8,8,"draw",4.0126711329999125,"         ","    x    ","    x o  ","  x x o  ","o x x o  ","o xxx o  ","o xxxoo  ","o xxxoo x","o xxxooox","oxxxxooox"
1054,8,8,"draw",4.050467892000029,"         ","    x    ","  o x    ","  o x x  ","  o x x o","  o xxx o","  ooxxx o","x ooxxx o","xoooxxx o","xoooxxxxo"
1055,8,8,"draw",4.110936485000025,"         ","    x    ","    x o  "," x  x o  "," x  x oo "," x  x oox","ox  x oox","ox xx oox","ox xxooox","oxxxxooox"
1056,8,8,"draw",4.016796548000002,"         ","    x    ","o   x    ","o  xx    ","o  xxo   ","o xxxo   ","o xxxoo  ","o xxxoo x","ooxxxoo x","ooxxxooxx"
1057,8,8,"draw",4.006413223999971,"         ","    x    ","o   x    ","o   x   x","o   x o x","o  xx o x","o  xxoo x","ox xxoo x","ox xxooox","oxxxxooox"
1058,8,8,"draw",4.00861622900004,"         ","    x    ","    x o  "," x  x o  "," x  x oo "," x  x oox","ox  x oox","ox xx oox","ox xxooox","oxxxxooox"
1059,8,8,"draw",4.053435649999983,"         ","    x    ","o   x    ","o   xx   ","o  oxx   ","o  oxxx  ","o ooxxx  ","oxooxxx  ","oxooxxxo ","oxooxxxox"
1060,8,8,"draw",4.052489854999976,"         ","    x    ","    x o  "," x  x o  "," x  x oo "," x  x oox","ox  x oox","ox xx oox","ox xxooox","oxxxxooox"
1061,8,8,"draw",4.083757750000018,"         ","    x    ","    x o  ","  x x o  ","o x x o  ","o xxx o  ","o xxxoo  ","oxxxxoo  ","oxxxxooo ","oxxxxooox"
1062,8,8,"draw",4.070031961000041,"         ","    x    ","    x   o","    xx  o","   oxx  o","   oxxx o","  ooxxx o","  ooxxxxo"," oooxxxxo","xoooxxxxo"
1063,8,8,"draw",4.0605343550000725,"         ","    x    ","  o x    ","  o x x  ","  o x x o","  o xxx o","  ooxxx o"," xooxxx o"," xooxxxoo","xxooxxxoo"
1064,8,8,"draw",4.197428268000067,"         ","    x    ","    x o  ","    xxo  ","   oxxo  ","x  oxxo  ","x  oxxo o","x  oxxoxo","xo oxxoxo","xoxoxxoxo"
1065,8,9,"draw",4.455335797000089,"         ","    x    ","    x   o","    xx  o","   oxx  o","   oxxx o","  ooxxx o","x ooxxx o","xoooxxx o","xoooxxxxo"
1066,8,9,"draw",4.253346393000129,"         ","    x    ","    x   o","    x  xo"," o  x  xo"," o xx  xo"," o xxo xo"," oxxxo xo"," oxxxooxo","xoxxxooxo"
1067,8,9,"draw",4.059840314999974,"         ","    x    ","  o x    ","  oxx    ","  oxxo   ","  oxxo  x","o oxxo  x","oxoxxo  x","oxoxxo ox","oxoxxoxox"
1068,8,9,"draw",4.12461913900006,"         ","    x    ","  o x    ","x o x    ","x o x   o","x o xx  o","x ooxx  o","x ooxxx o","xoooxxx o","xoooxxxxo"
1069,8,9,"draw",4.225412439000138,"         ","    x    ","    x o  ","  x x o  ","  x x o o","  x x oxo"," ox x oxo"," ox xxoxo"," oxoxxoxo","xoxoxxoxo"
1070,8,9,"draw",4.093436410999857,"         ","    x    ","  o x    ","  o x   x","o o x   x","oxo x   x","oxo x  ox","oxo x xox","oxo xoxox","oxoxxoxox"
1071,8,9,"draw",4.259284177999916,"         ","    x    ","o   x    ","o   x x  ","o o x x  ","oxo x x  ","oxo x xo ","oxoxx xo ","oxoxxoxo ","oxoxxoxox"
1072,8,9,"draw",4.091241178000018,"         ","    x    ","    x o  ","    x o x","o   x o x","o  xx o x","o  xxoo x","o  xxooxx","oo xxooxx","ooxxxooxx"
1073,8,9,"draw",4.27230442899986,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","ox xxo ox","oxoxxo ox","oxoxxoxox"
1074,8,9,"draw",4.067365070000051,"         ","    x    ","    x   o","    x x o","  o x x o","  o xxx o","  ooxxx o","  ooxxxxo"," oooxxxxo","xoooxxxxo"
1075,8,9,"draw",4.204548926999905,"         ","    x    ","o   x    ","o   x x  ","o o x x  ","oxo x x  ","oxo x xo ","oxo xxxo ","oxooxxxo ","oxooxxxox"
1076,8,9,"draw",4.182005223999795,"         ","    x    ","  o x    ","  o xx   ","  ooxx   ","  ooxxx  ","  ooxxx o"," xooxxx o"," xooxxxoo","xxooxxxoo"
