,0,1,2,3,4,5,6,7,8,9
0,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
2,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
5,-200,12,-200,-200,-200,-200,-200,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
7,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
8,-200,-200,-200,-200,-200,9,3,-200,-200,3
9,-200,-200,-200,11,-200,-200,-200,12,-200,8
10,-200,-200,8,-200,6,-200,-200,11,-200,-200
11,-200,-200,8,10,8,-200,-200,12,5,-200
12,5,-200,10,-200,13,10,-200,-200,9,11
13,10,12,4,-200,10,-200,-200,-200,10,15
14,6,12,13,-200,11,9,6,5,-200,7
15,6,6,8,8,7,6,3,6,7,8
16,5,7,5,4,6,11,-200,8,6,7
17,8,7,7,5,4,15,9,5,8,3
18,5,5,7,6,8,9,13,6,9,10
19,13,9,6,12,10,4,4,-200,11,8
20,5,5,5,8,9,7,5,6,5,9
21,9,9,7,7,7,9,7,4,9,9
22,7,9,6,8,6,5,10,8,3,11
23,7,7,9,12,5,7,7,-200,12,9
24,10,12,8,8,5,10,4,4,10,5
25,7,7,3,12,7,5,8,5,9,9
26,10,7,12,13,9,12,12,7,11,9
27,7,8,4,4,10,7,10,5,6,5
28,5,11,12,13,7,11,5,15,6,6
29,9,11,8,7,8,10,6,7,8,11
30,5,7,5,12,6,5,9,11,11,8
31,8,7,5,7,9,6,11,10,7,12
32,6,11,7,9,3,7,10,3,8,11
33,5,7,5,11,13,7,6,5,11,5
34,5,3,8,8,6,13,9,12,7,9
35,6,10,6,13,3,8,7,14,11,7
36,4,9,5,5,11,6,5,7,5,6
37,10,12,4,6,4,5,13,14,7,11
38,3,11,5,11,7,9,11,5,5,9
39,4,9,5,7,7,12,9,4,9,5
40,8,13,5,11,5,6,5,15,10,7
41,6,5,13,3,9,8,8,9,11,9
42,7,8,8,4,7,7,11,8,7,5
43,8,8,9,10,9,11,14,6,8,5
44,8,5,8,13,6,12,7,6,8,9
45,6,4,7,9,3,7,9,7,4,4
46,3,9,7,5,8,9,6,9,3,5
47,9,8,9,5,8,6,9,7,7,11
48,4,10,3,7,8,6,11,11,6,11
49,8,12,4,7,3,11,6,11,4,10
50,13,8,9,5,9,4,4,8,9,6
51,7,12,9,14,7,13,6,9,9,5
52,4,8,4,13,7,9,10,11,8,12
53,6,13,10,7,5,8,8,9,9,6
54,5,7,11,9,7,6,6,6,5,4
55,8,12,10,6,7,9,11,6,9,3
56,13,11,4,9,7,6,11,10,9,5
57,7,10,9,14,7,8,11,9,7,8
58,8,7,5,11,8,12,10,4,7,5
59,3,11,12,6,5,15,12,8,8,9
60,6,8,3,12,7,7,7,9,6,6
61,11,11,8,8,4,8,3,10,11,7
62,8,6,4,11,5,6,6,9,9,5
63,10,7,14,13,6,4,14,6,3,10
64,4,4,6,8,14,8,3,6,6,7
65,11,7,6,11,3,7,6,8,11,8
66,7,15,5,9,10,7,10,5,7,13
67,7,10,8,9,11,6,4,6,10,3
68,9,7,14,10,6,10,5,9,9,8
69,9,7,9,6,4,3,7,4,8,8
70,5,4,6,8,8,6,8,10,10,6
71,12,4,6,6,7,5,9,7,4,5
72,8,6,4,12,10,9,4,5,13,10
73,8,7,6,8,9,9,7,11,6,11
74,6,13,6,7,6,9,8,9,9,11
75,3,13,9,6,7,4,10,4,11,6
76,11,5,4,7,11,4,8,11,6,9
77,5,11,6,7,7,5,3,7,4,7
78,6,7,8,4,12,5,10,6,7,11
79,8,13,3,5,9,7,10,8,8,4
80,4,6,7,3,8,9,6,6,4,9
81,7,10,11,7,9,4,6,8,7,11
82,4,5,14,7,8,4,5,5,7,5
83,8,5,7,7,9,5,9,7,10,5
84,6,13,12,8,9,11,10,8,5,8
85,12,9,15,13,5,10,9,9,9,6
86,6,3,10,5,9,10,13,10,6,9
87,6,4,11,7,5,6,12,7,4,6
88,11,8,9,8,12,9,12,5,7,9
89,4,6,8,6,6,6,4,5,8,5
90,6,9,6,5,7,11,8,3,12,12
91,9,8,7,10,5,7,7,11,4,8
92,4,9,7,8,11,7,3,8,4,10
93,6,6,12,10,10,10,7,9,6,4
94,9,7,5,7,8,8,7,4,9,4
95,9,3,7,7,4,7,11,4,8,7
96,7,9,11,10,12,9,4,9,8,4
97,8,7,7,12,15,6,4,7,10,9
98,8,8,8,7,7,7,7,5,4,7
99,10,8,6,6,4,6,5,6,6,7
