,0,1,2,3,4,5,6,7,8,9
0,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
2,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
5,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
7,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
8,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
9,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
10,-200,12,-200,-200,-200,-200,-200,-200,-200,-200
11,-200,-200,-200,-200,-200,-200,-200,12,-200,-200
12,12,-200,-200,-200,-200,-200,-200,-200,-200,-200
13,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
14,-200,-200,-200,-200,-200,-200,-200,11,-200,-200
15,11,-200,-200,11,-200,-200,-200,9,9,-200
16,-200,4,-200,-200,6,-200,-200,11,5,6
17,6,-200,-200,11,-200,-200,13,12,-200,9
18,-200,-200,-200,-200,-200,-200,-200,-200,-200,9
19,-200,5,11,-200,6,-200,11,13,-200,7
20,-200,-200,6,-200,8,-200,11,3,6,7
21,10,-200,-200,-200,-200,5,-200,-200,9,12
22,5,10,6,8,-200,-200,12,-200,3,8
23,5,2,-200,7,5,8,6,11,5,4
24,6,9,-200,2,9,5,7,12,10,11
25,5,13,9,10,7,8,12,6,8,6
26,5,5,9,8,8,13,9,5,9,12
27,10,7,7,8,5,9,8,3,11,12
28,4,5,4,7,4,10,5,-200,5,8
29,9,7,13,7,10,5,9,7,7,9
30,4,11,8,9,9,4,12,12,9,7
31,3,11,2,5,10,7,4,11,8,6
32,5,6,9,7,11,8,5,11,5,7
33,10,11,11,9,9,6,7,3,11,2
34,6,6,6,10,7,6,11,3,5,7
35,8,4,7,9,3,7,5,11,5,5
36,3,10,10,3,6,3,8,4,7,9
37,5,5,3,12,4,10,7,10,6,8
38,8,9,4,6,10,4,5,8,7,6
39,6,7,7,9,3,10,9,11,6,4
40,7,6,7,8,12,8,3,7,8,6
41,4,5,4,3,7,8,6,8,9,7
42,11,9,10,11,4,11,8,7,5,10
43,7,6,7,11,9,7,4,6,10,8
44,12,13,6,8,6,10,8,5,7,3
45,8,9,10,9,8,3,5,6,3,5
46,5,4,9,6,8,7,10,7,4,8
47,8,8,4,5,8,12,6,9,9,7
48,6,14,8,7,4,6,9,7,5,10
49,8,7,10,6,7,11,2,5,6,7
50,7,8,7,6,6,9,6,5,6,4
51,9,3,12,5,6,8,5,5,6,4
52,5,3,10,8,8,6,5,7,2,10
53,6,10,10,8,8,13,8,4,9,4
54,8,8,4,5,9,5,12,6,7,9
55,5,3,6,6,6,5,4,5,4,10
56,8,8,6,7,9,4,9,13,8,3
57,7,6,8,6,10,4,6,11,5,6
58,8,4,7,10,6,8,10,4,5,5
59,7,6,5,7,2,8,10,3,8,11
60,6,3,8,4,9,5,9,13,5,7
61,6,5,6,6,10,13,6,7,7,10
62,4,7,9,9,4,8,8,5,8,4
63,7,4,5,9,11,5,4,4,12,3
64,9,8,5,5,5,8,5,9,4,4
65,5,8,6,4,12,5,7,6,2,4
66,4,14,4,8,7,6,4,6,4,13
67,3,5,9,7,7,5,4,2,5,7
68,10,8,8,5,3,3,3,4,6,3
69,7,7,9,11,10,3,4,9,7,6
70,6,4,13,8,12,6,6,8,8,10
71,7,4,9,8,6,9,4,7,4,7
72,3,9,6,4,8,10,7,9,10,6
73,4,7,11,3,4,5,7,5,7,7
74,2,8,8,7,4,5,5,6,11,6
75,9,10,9,12,4,6,7,4,11,9
76,12,9,9,7,3,4,5,11,8,6
77,9,6,7,11,9,6,6,10,6,9
78,10,9,9,9,7,9,7,12,5,7
79,5,9,8,4,5,10,2,9,8,7
80,6,8,3,12,9,10,9,3,9,6
81,5,12,13,5,5,6,6,11,4,9
82,9,7,11,8,5,5,7,9,4,6
83,7,13,5,10,6,8,5,3,4,6
84,9,8,6,4,7,5,7,6,10,9
85,6,4,12,5,9,7,4,5,5,8
86,15,11,10,6,10,10,5,5,8,9
87,11,12,3,4,14,9,8,10,4,8
88,5,8,4,9,6,4,8,9,4,7
89,6,5,7,5,10,5,11,11,8,8
90,8,10,13,4,3,5,8,6,9,11
91,2,13,6,11,6,3,2,5,14,3
92,9,4,10,7,5,7,9,9,2,3
93,9,5,12,8,5,9,11,8,9,10
94,3,4,6,12,4,10,5,4,10,8
95,5,5,8,6,5,5,8,11,7,3
96,3,6,8,6,7,5,11,9,4,4
97,11,10,5,5,7,5,7,8,7,6
98,5,10,4,7,7,6,8,5,6,10
99,12,5,9,7,10,9,6,9,3,7
