,reward
0,7
1,10
2,6
3,14
4,5
5,8
6,8
7,8
8,6
9,8
10,11
11,7
12,7
13,10
14,14
15,8
16,5
17,5
18,10
19,6
20,10
21,7
22,6
23,10
24,9
25,8
26,8
27,7
28,5
29,3
30,5
31,9
32,9
33,8
34,11
35,6
36,4
37,8
38,6
39,3
40,5
41,7
42,6
43,8
44,3
45,7
46,15
47,15
48,10
49,6
50,13
51,10
52,6
53,8
54,11
55,12
56,8
57,11
58,7
59,6
60,6
61,5
62,7
63,8
64,3
65,10
66,9
67,11
68,10
69,10
70,7
71,11
72,6
73,4
74,10
75,6
76,7
77,7
78,9
79,7
80,4
81,12
82,10
83,9
84,13
85,5
86,8
87,8
88,10
89,6
90,7
91,8
92,10
93,8
94,8
95,5
96,11
97,11
98,6
99,4
100,7
101,4
102,10
103,10
104,8
105,12
106,4
107,10
108,6
109,5
110,6
111,8
112,9
113,6
114,5
115,5
116,6
117,6
118,6
119,10
120,5
121,10
122,4
123,5
124,11
125,11
126,6
127,5
128,6
129,6
130,6
131,9
132,10
133,4
134,7
135,4
136,8
137,4
138,9
139,7
140,4
141,8
142,8
143,10
144,9
145,7
146,5
147,3
148,8
149,3
150,10
151,4
152,11
153,11
154,7
155,11
156,11
157,7
158,12
159,13
160,10
161,10
162,8
163,8
164,9
165,6
166,11
167,10
168,10
169,7
170,8
171,8
172,11
173,9
174,11
175,8
176,7
177,10
178,5
179,4
180,9
181,4
182,6
183,4
184,8
185,10
186,8
187,7
188,11
189,3
190,9
191,11
192,11
193,7
194,5
195,4
196,10
197,4
198,5
199,8
200,7
201,10
202,7
203,3
204,11
205,8
206,12
207,14
208,11
209,9
210,12
211,10
212,9
213,11
214,8
215,6
216,9
217,9
218,10
219,8
220,10
221,3
222,7
223,9
224,6
225,8
226,5
227,7
228,12
229,10
230,8
231,5
232,6
233,4
234,7
235,6
236,5
237,6
238,11
239,8
240,12
241,8
242,10
243,7
244,4
245,8
246,9
247,10
248,4
249,11
250,11
251,7
252,6
253,5
254,7
255,5
256,10
257,4
258,7
259,9
260,3
261,5
262,7
263,5
264,6
265,7
266,10
267,12
268,8
269,10
