,reward
0,10
1,9
2,8
3,13
4,10
5,4
6,4
7,10
8,6
9,8
10,11
11,6
12,5
13,9
14,12
15,10
16,4
17,12
18,11
19,11
20,4
21,9
22,8
23,7
24,9
25,11
26,8
27,8
28,10
29,9
30,7
31,9
32,10
33,6
34,7
35,9
36,9
37,5
38,10
39,6
40,10
41,5
42,6
43,9
44,14
45,5
46,9
47,8
48,9
49,11
50,5
51,11
52,9
53,8
54,14
55,9
56,10
57,7
58,6
59,3
60,10
61,7
62,9
63,5
64,6
65,7
66,5
67,7
68,5
69,13
70,8
71,4
72,11
73,15
74,9
75,10
76,11
77,7
78,7
79,5
80,12
81,6
82,12
83,7
84,6
85,7
86,9
87,6
88,9
89,10
90,5
91,8
92,7
93,9
94,1
95,8
96,11
97,9
98,11
99,12
100,8
101,9
102,10
103,11
104,5
105,7
106,8
107,9
108,7
109,8
110,5
111,5
112,10
113,6
114,3
115,4
116,7
117,10
118,9
119,5
120,3
121,7
122,9
123,9
124,6
125,4
126,6
127,7
128,8
129,10
130,7
131,6
132,9
133,6
134,3
135,10
136,8
137,6
138,7
139,8
140,9
141,9
142,8
143,6
144,6
145,6
146,13
147,9
148,12
149,5
150,12
151,9
152,6
153,7
154,12
155,4
156,7
157,12
158,9
159,3
160,5
161,14
162,10
163,8
164,6
165,7
166,10
167,6
168,4
169,8
170,10
171,9
172,10
173,9
174,9
175,11
176,9
177,12
178,11
179,12
180,12
181,10
182,3
183,5
184,6
185,9
186,10
187,7
188,8
189,9
190,14
191,8
192,11
193,8
194,10
195,8
196,3
197,6
198,6
199,7
200,6
201,5
202,10
203,10
204,7
205,14
206,6
207,14
208,10
209,8
210,9
211,5
212,6
213,6
214,8
215,6
216,10
217,9
218,8
219,10
220,5
221,10
222,9
223,5
224,7
225,9
226,7
227,8
228,15
229,8
230,8
231,5
232,6
233,9
234,6
235,9
236,4
237,7
238,7
239,10
240,6
241,13
242,11
243,10
244,8
245,6
246,11
247,7
248,14
249,6
250,8
251,5
252,11
253,11
254,11
255,4
256,8
257,11
258,9
259,4
260,7
261,7
262,9
263,10
264,3
265,8
266,8
267,9
268,13
269,7
270,8
271,6
272,3
273,7
274,11
275,3
276,3
277,11
278,5
279,8
280,7
281,10
282,10
283,10
284,5
285,4
286,7
287,12
288,11
289,11
290,5
291,4
292,3
293,6
294,10
295,15
296,10
297,7
298,13
299,11
300,7
301,8
302,6
303,7
304,10
305,7
306,9
307,6
308,10
309,7
310,7
311,9
312,6
313,7
314,2
315,10
316,9
317,10
318,7
319,8
320,9
321,6
322,6
323,8
324,9
325,7
326,7
327,12
328,10
329,10
330,7
331,10
332,6
333,6
334,10
335,6
336,9
337,10
338,6
339,9
340,9
341,10
342,8
343,8
344,9
345,5
346,6
347,7
348,9
349,5
350,8
351,7
352,5
353,7
354,4
355,6
356,7
357,5
358,4
359,2
360,11
361,8
362,8
363,14
364,8
365,6
366,11
367,9
368,9
369,11
370,8
371,9
372,12
373,11
374,11
375,7
376,7
377,8
378,14
379,9
380,11
381,7
382,4
383,10
384,9
385,11
386,8
387,7
388,7
389,7
390,9
391,4
392,5
393,10
394,8
395,8
396,11
397,9
398,13
399,3
400,5
401,5
402,9
403,6
404,4
405,7
406,6
407,6
408,3
409,6
410,8
411,10
412,8
413,9
414,12
415,5
416,10
417,9
418,9
419,9
420,5
421,7
422,10
423,8
424,9
425,9
426,5
427,9
428,8
429,11
430,5
431,6
432,11
433,8
434,12
435,4
436,8
437,7
438,7
439,7
440,5
441,8
442,8
443,7
444,9
445,5
446,4
447,5
448,5
449,7
450,11
451,11
452,11
453,8
454,9
455,7
456,6
457,11
458,4
459,8
460,10
461,4
462,7
463,5
464,10
465,10
466,9
467,4
468,6
469,8
470,4
471,12
472,7
473,10
474,8
475,1
476,7
477,14
478,6
479,9
480,7
481,10
482,6
483,8
484,9
485,6
486,10
487,9
488,9
489,7
490,8
491,9
492,10
493,11
494,9
495,7
496,7
497,9
498,12
499,5
500,11
501,7
502,5
503,7
504,7
505,6
506,7
507,7
508,7
509,5
510,7
511,9
512,7
513,11
514,7
515,7
516,13
517,10
518,5
519,9
520,6
521,3
522,9
523,12
524,11
525,9
526,5
527,6
528,5
529,10
530,8
531,10
532,5
533,3
534,7
535,7
536,6
537,10
538,10
539,7
540,12
541,9
542,8
543,12
544,10
545,10
546,6
547,9
548,8
549,5
550,7
551,6
552,4
553,8
554,6
555,7
556,8
557,10
558,8
559,7
560,8
561,9
562,10
563,9
564,7
565,10
566,9
567,8
568,9
569,5
570,7
571,8
572,7
573,9
574,6
575,10
576,10
577,6
578,11
579,13
580,11
581,5
582,7
583,9
584,6
585,9
586,8
587,7
588,8
589,6
590,12
591,7
592,10
593,6
594,10
595,4
596,8
597,6
598,10
599,9
600,11
601,5
602,9
603,10
604,10
605,7
606,6
607,8
608,7
609,12
610,9
611,9
612,8
613,8
614,1
615,13
616,7
617,5
618,8
619,7
620,9
621,10
622,9
623,5
624,3
625,10
626,13
627,10
628,10
629,8
630,13
631,5
632,8
633,7
634,8
635,6
636,4
637,3
638,4
639,5
640,4
641,8
642,9
643,9
644,6
645,8
646,5
647,4
648,10
649,11
650,6
651,11
652,10
653,6
654,10
655,7
656,6
657,6
658,7
659,7
660,9
661,7
662,6
663,9
664,8
665,6
666,6
667,4
668,5
669,8
670,11
671,10
672,7
673,4
674,7
675,13
676,7
677,7
678,11
679,9
680,6
681,9
682,7
683,5
684,5
685,11
686,11
687,14
688,10
689,9
690,5
691,11
692,9
693,9
694,7
695,9
696,7
697,11
698,7
699,7
700,7
701,11
702,5
703,12
704,4
705,5
706,11
707,8
708,8
709,7
710,10
711,6
712,5
713,12
714,9
715,6
716,11
717,6
718,5
719,9
720,7
721,7
722,9
723,8
724,11
725,8
726,10
727,7
728,7
729,6
730,7
731,11
732,5
733,8
734,9
735,8
736,9
737,8
738,10
739,10
740,8
741,5
742,8
743,5
744,6
745,4
746,7
747,5
748,10
749,11
750,9
751,10
752,11
753,6
754,3
755,9
756,4
757,8
758,6
759,7
760,8
761,5
762,8
763,8
764,14
765,10
766,9
767,10
768,11
769,9
770,7
771,10
772,7
773,7
774,7
775,9
776,10
777,7
778,11
779,7
780,4
781,8
782,6
783,8
784,8
785,7
786,12
787,6
788,3
789,4
790,8
791,8
792,7
793,9
794,10
795,8
796,7
797,6
798,7
799,9
800,9
801,10
802,7
803,5
804,6
805,4
806,10
807,7
808,7
809,6
810,10
811,6
812,6
813,12
814,4
815,15
816,8
817,7
818,8
819,8
820,4
821,8
822,7
823,10
824,10
825,9
826,8
827,11
828,8
829,8
830,6
831,7
832,8
833,7
834,9
835,8
836,12
837,7
838,7
839,15
840,11
841,11
842,9
843,11
844,8
845,11
846,12
847,10
848,9
849,7
850,11
851,13
852,8
853,6
854,10
855,9
856,4
857,8
858,7
859,12
860,9
861,5
862,13
863,7
864,9
865,12
866,9
867,12
868,8
869,11
870,7
871,9
872,4
873,9
874,8
875,10
876,4
877,7
878,3
879,6
880,5
881,7
882,5
883,11
884,7
885,5
886,6
887,6
888,14
889,12
890,7
891,8
892,9
893,8
894,6
895,7
896,7
897,7
898,9
899,5
900,7
901,8
902,8
903,9
904,9
905,14
906,4
907,7
908,6
909,10
910,7
911,10
912,8
913,8
914,6
915,5
916,14
917,6
918,7
919,9
920,8
921,4
922,2
923,10
924,10
925,6
926,8
927,7
928,10
929,5
930,9
931,8
932,10
933,5
934,10
935,10
936,6
937,10
938,4
939,8
940,6
941,7
942,12
943,7
944,7
945,4
946,12
947,10
948,8
949,10
950,8
951,6
952,9
953,11
954,8
955,7
956,3
957,3
958,9
959,4
960,7
961,9
962,5
963,7
964,6
965,9
966,6
967,4
968,4
969,11
970,6
971,9
972,10
973,9
974,4
975,6
976,13
977,9
978,7
979,3
980,8
981,9
982,9
983,10
984,5
985,9
986,7
987,7
988,10
989,8
990,14
991,3
992,4
993,10
994,10
995,8
996,7
997,8
998,10
999,7
