,reward
0,5
1,3
2,11
3,12
4,11
5,10
6,3
7,11
8,10
9,7
10,7
11,7
12,8
13,8
14,10
15,7
16,5
17,11
18,2
19,8
20,5
21,9
22,9
23,11
24,6
25,8
26,10
27,4
28,10
29,14
30,5
31,13
32,7
33,11
34,8
35,5
36,11
37,8
38,13
39,5
40,7
41,8
42,8
43,8
44,5
45,9
46,6
47,8
48,5
49,5
50,7
51,4
52,7
53,9
54,2
55,8
56,14
57,9
58,11
59,7
60,3
61,8
62,8
63,8
64,11
65,7
66,10
67,9
68,7
69,7
70,6
71,4
72,8
73,5
74,3
75,6
76,7
77,10
78,14
79,8
80,7
81,6
82,10
83,9
84,10
85,8
86,3
87,6
88,15
89,9
90,6
91,7
92,5
93,6
94,8
95,6
96,6
97,10
98,8
99,5
100,7
101,6
102,7
103,12
104,9
105,6
106,8
107,6
108,8
109,3
110,6
111,6
112,7
113,7
114,4
115,7
116,4
117,11
118,12
119,10
120,9
121,15
122,8
123,6
124,7
125,5
126,9
127,10
128,4
129,8
130,9
131,5
132,8
133,10
134,6
135,8
136,2
137,5
138,11
139,7
140,11
141,7
142,11
143,10
144,6
145,3
146,5
147,8
148,8
149,10
150,11
151,11
152,10
153,8
154,6
155,6
156,8
157,7
158,7
159,10
160,8
161,8
162,6
163,8
164,11
165,7
166,8
167,8
168,7
169,10
170,10
171,11
172,5
173,7
174,5
175,4
176,5
177,6
178,6
179,5
180,7
181,9
182,7
183,8
184,7
185,13
186,4
187,8
188,8
189,4
190,8
191,7
192,6
193,6
194,14
195,14
196,9
197,10
198,10
199,6
200,5
201,4
202,4
203,5
204,11
205,7
206,4
207,10
208,9
209,11
210,15
211,7
212,8
213,9
214,8
215,8
216,10
217,9
218,12
219,6
220,6
221,7
222,10
223,8
224,9
225,7
226,4
227,9
228,2
229,4
230,7
231,8
232,7
233,4
234,5
235,5
236,5
237,14
238,7
239,8
240,6
241,8
242,9
243,14
244,12
245,10
246,7
247,7
248,9
249,7
250,5
251,9
252,12
253,4
254,7
255,7
256,8
257,14
258,8
259,8
260,5
261,12
262,7
263,5
264,6
265,10
266,8
267,6
268,6
269,10
270,14
271,11
272,11
273,12
274,4
275,11
276,3
277,6
278,5
279,8
280,7
281,6
282,5
283,11
284,3
285,8
286,10
287,8
288,6
289,6
290,5
291,5
292,9
293,8
294,9
295,11
296,10
297,7
298,8
299,10
300,7
301,9
302,8
303,9
304,12
305,5
306,7
307,7
308,4
309,9
310,10
311,10
312,11
313,11
314,8
315,5
316,10
317,7
318,6
319,8
320,8
321,8
322,13
323,11
324,5
325,12
326,9
327,5
328,9
329,10
330,8
331,15
332,5
333,9
334,7
335,13
336,8
337,9
338,10
339,6
340,7
341,7
342,12
343,6
344,12
345,6
346,8
347,5
348,6
349,14
350,12
351,7
352,8
353,10
354,11
355,13
356,8
357,11
358,3
359,10
360,14
361,4
362,9
363,4
364,6
365,9
366,7
367,5
368,7
369,5
370,7
371,9
372,8
373,7
374,9
