,reward
763,-200
764,8
765,12
766,11
767,-200
768,9
769,10
770,6
771,6
772,7
773,8
774,8
775,11
776,9
777,-200
778,-200
779,7
780,-200
781,7
782,-200
783,-200
784,12
785,3
786,4
787,5
788,8
789,-200
790,-200
791,6
792,11
793,4
794,-200
795,-200
796,8
797,8
798,-200
799,11
800,9
801,5
802,10
803,4
804,14
805,5
806,5
807,6
808,8
809,11
810,-200
811,-200
812,5
813,10
814,13
815,6
816,-200
817,5
818,8
819,-200
820,6
821,12
822,6
823,9
824,9
825,10
826,3
827,11
828,10
829,12
830,-200
831,6
832,-200
833,8
834,-200
835,7
836,-200
837,-200
838,6
839,10
840,-200
841,14
842,15
843,7
844,-200
845,-200
846,12
847,5
848,4
849,4
850,10
851,6
852,11
853,8
854,7
855,7
856,5
857,5
858,4
859,-200
860,6
861,8
862,7
863,9
864,4
865,13
866,7
867,12
868,9
869,5
870,7
871,10
872,-200
873,10
874,-200
875,5
876,6
877,6
878,5
879,4
880,12
881,14
882,6
883,8
884,-200
885,7
886,5
887,9
888,4
889,5
890,8
891,6
892,10
893,-200
894,6
895,8
896,5
897,-200
898,4
899,5
900,6
901,-200
902,6
903,6
904,7
905,7
906,7
907,-200
908,5
909,8
910,8
911,11
912,3
913,9
914,5
915,5
916,-200
917,-200
918,5
919,8
920,6
921,-200
922,10
923,13
924,-200
925,8
926,6
927,-200
928,-200
929,12
930,-200
931,5
932,-200
933,10
934,4
935,12
936,11
937,6
938,10
939,11
940,-200
941,7
942,10
943,10
944,10
945,9
946,11
947,6
948,6
949,-200
950,10
951,7
952,13
953,14
954,12
955,10
956,-200
957,7
958,7
959,7
960,7
961,10
962,10
963,-200
964,6
965,4
966,3
967,6
968,10
969,4
970,12
971,5
972,6
973,7
974,8
975,8
976,5
977,9
978,7
979,-200
980,-200
981,10
982,8
983,11
984,6
985,10
986,9
987,6
988,4
989,-200
990,9
991,13
992,7
993,10
994,5
995,-200
996,6
997,11
998,6
999,10
