,0,1,2,3,4,5,6,7,8,9
0,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
2,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
5,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
7,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
8,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
9,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
10,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
11,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
12,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
13,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
14,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
15,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
16,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
17,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
18,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
20,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,14,-200,-200,-200,-200,-200,-200
22,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
23,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
24,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
25,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
26,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
27,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
28,-200,10,-200,-200,-200,-200,14,-200,-200,-200
29,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
30,-200,-200,12,-200,-200,-200,-200,-200,-200,-200
31,-200,-200,-200,15,-200,-200,-200,-200,-200,-200
32,-200,13,12,-200,12,-200,-200,-200,-200,-200
33,-200,-200,-200,-200,-200,8,-200,-200,-200,-200
34,9,8,-200,-200,-200,-200,-200,-200,-200,-200
35,12,-200,10,10,-200,-200,-200,-200,9,-200
36,-200,-200,-200,11,-200,-200,-200,-200,-200,-200
37,-200,10,-200,9,6,15,-200,7,9,-200
38,-200,-200,8,-200,9,-200,13,-200,-200,12
39,-200,8,-200,-200,-200,-200,10,13,11,-200
40,-200,-200,7,-200,-200,-200,-200,-200,-200,11
41,-200,11,-200,-200,12,-200,-200,-200,-200,-200
42,-200,-200,-200,13,8,-200,-200,-200,-200,-200
43,12,8,8,-200,-200,11,-200,-200,-200,14
44,-200,-200,-200,-200,7,7,-200,9,-200,14
45,-200,-200,-200,11,-200,-200,-200,-200,-200,-200
46,-200,9,-200,6,-200,7,9,-200,-200,7
47,7,9,-200,-200,8,8,-200,-200,-200,-200
48,-200,-200,13,8,8,12,10,10,6,-200
49,-200,-200,8,-200,-200,7,14,-200,7,-200
50,-200,-200,8,8,6,-200,11,12,-200,7
51,9,-200,11,-200,6,8,11,10,-200,-200
52,8,-200,-200,-200,-200,-200,-200,9,8,7
53,6,6,5,7,10,10,-200,-200,7,9
54,2,-200,10,9,10,9,7,11,-200,-200
55,10,11,11,-200,-200,-200,7,-200,9,8
56,11,-200,13,12,9,7,9,8,-200,7
57,11,-200,-200,9,6,9,11,-200,7,4
58,9,-200,8,-200,9,7,-200,11,9,-200
59,-200,-200,-200,10,7,10,8,7,-200,14
60,10,10,8,8,9,13,7,9,6,14
61,6,7,13,5,8,10,6,9,8,7
62,7,9,6,14,10,8,10,10,8,-200
63,8,9,12,-200,5,7,6,9,9,8
64,8,5,7,5,7,7,6,5,10,-200
65,8,13,14,11,5,6,6,9,6,9
66,5,13,6,8,9,12,10,8,9,10
67,8,2,-200,7,9,7,11,11,4,13
68,9,13,8,9,5,-200,5,6,-200,11
69,8,6,7,11,6,5,7,10,10,-200
70,5,10,4,11,10,13,9,9,10,10
71,6,8,15,3,5,8,11,8,8,3
72,7,14,10,9,12,6,10,8,9,5
73,10,8,5,11,10,-200,6,8,12,9
74,9,7,10,13,12,-200,7,8,13,5
75,11,6,12,9,11,4,8,10,5,15
76,9,7,5,11,6,12,14,11,7,9
77,7,9,4,5,7,8,9,8,9,9
78,10,11,9,9,8,5,11,11,11,9
79,6,6,5,8,10,7,5,3,4,3
80,9,13,7,4,12,6,7,9,8,5
81,9,7,9,8,8,7,9,3,5,11
82,11,8,4,11,8,6,8,7,7,12
83,10,7,13,9,8,14,4,9,6,9
84,9,3,6,10,5,6,12,11,9,6
85,5,8,8,5,5,8,11,11,6,6
86,4,5,8,7,11,7,10,-200,9,13
87,11,12,9,9,15,8,7,7,14,9
88,12,4,11,6,10,8,8,7,9,5
89,10,8,4,6,9,7,8,9,10,4
90,11,3,12,5,15,5,8,6,9,7
91,8,11,9,7,12,9,7,8,7,7
92,14,10,-200,10,7,13,9,8,15,8
93,9,9,13,10,7,9,7,7,8,5
94,8,6,11,9,6,12,7,11,10,8
95,13,4,4,3,3,3,7,14,11,6
96,7,13,9,9,8,8,10,8,10,10
97,11,10,9,12,8,7,6,8,9,7
98,5,10,9,12,9,9,8,5,8,5
99,7,7,7,8,12,5,3,14,4,12
