,reward
662,-200
663,-200
664,-200
665,-200
666,-200
667,6
668,-200
669,-200
670,-200
671,-200
672,-200
673,-200
674,-200
675,-200
676,-200
677,-200
678,-200
679,14
680,-200
681,-200
682,-200
683,-200
684,-200
685,-200
686,-200
687,-200
688,-200
689,9
690,11
691,13
692,-200
693,-200
694,-200
695,-200
696,-200
697,-200
698,-200
699,14
700,-200
701,-200
702,-200
703,-200
704,-200
705,-200
706,-200
707,-200
708,-200
709,-200
710,-200
711,-200
712,-200
713,-200
714,-200
715,-200
716,-200
717,-200
718,-200
719,-200
720,-200
721,-200
722,9
723,-200
724,-200
725,-200
726,9
727,-200
728,9
729,13
730,-200
731,-200
732,15
733,-200
734,11
735,-200
736,-200
737,-200
738,10
739,-200
740,-200
741,-200
742,-200
743,9
744,-200
745,-200
746,12
747,-200
748,-200
749,-200
750,-200
751,10
752,-200
753,-200
754,-200
755,-200
756,-200
757,8
758,-200
759,-200
760,9
761,-200
762,-200
763,-200
764,-200
765,-200
766,-200
767,9
768,10
769,13
770,-200
771,-200
772,-200
773,-200
774,13
775,10
776,-200
777,-200
778,-200
779,-200
780,-200
781,-200
782,-200
783,-200
784,-200
785,-200
786,-200
787,-200
788,8
789,-200
790,-200
791,-200
792,-200
793,-200
794,-200
795,-200
796,-200
797,-200
798,-200
799,-200
800,-200
801,-200
802,-200
803,-200
804,-200
805,-200
806,9
807,-200
808,-200
809,8
810,10
811,-200
812,11
813,-200
814,-200
815,-200
816,-200
817,-200
818,-200
819,-200
820,14
821,-200
822,-200
823,-200
824,-200
825,-200
826,-200
827,-200
828,-200
829,-200
830,-200
831,-200
832,-200
833,-200
834,9
835,-200
836,7
837,-200
838,-200
839,-200
840,-200
841,9
842,-200
843,-200
844,-200
845,-200
846,-200
847,-200
848,-200
849,-200
850,-200
851,-200
852,-200
853,-200
854,-200
855,-200
856,12
857,10
858,-200
859,-200
860,-200
861,12
862,-200
863,10
864,-200
865,-200
866,-200
867,10
868,-200
869,7
870,-200
871,6
872,-200
873,-200
874,7
875,-200
876,-200
877,-200
878,-200
879,12
880,15
881,-200
882,-200
883,13
884,-200
885,-200
886,-200
887,-200
888,-200
889,-200
890,-200
891,-200
892,-200
893,-200
894,10
895,-200
896,-200
897,-200
898,-200
899,-200
900,-200
901,-200
902,-200
903,-200
904,-200
905,-200
906,-200
907,-200
908,-200
909,-200
910,-200
911,-200
912,-200
913,-200
914,-200
915,-200
916,-200
917,-200
