,reward
704,-200
705,-200
706,6
707,6
708,11
709,11
710,7
711,-200
712,8
713,-200
714,8
715,-200
716,-200
717,12
718,11
719,-200
720,8
721,-200
722,-200
723,-200
724,-200
725,-200
726,10
727,10
728,-200
729,9
730,3
731,-200
732,-200
733,9
734,-200
735,-200
736,-200
737,-200
738,12
739,-200
740,7
741,-200
742,7
743,10
744,6
745,14
746,10
747,-200
748,-200
749,9
750,9
751,8
752,10
753,8
754,8
755,-200
756,-200
757,6
758,7
759,6
760,-200
761,8
762,-200
763,-200
764,-200
765,6
766,-200
767,4
768,-200
769,6
770,-200
771,11
772,-200
773,11
774,10
775,-200
776,10
777,8
778,-200
779,-200
780,9
781,11
782,9
783,11
784,-200
785,10
786,14
787,-200
788,-200
789,-200
790,-200
791,-200
792,-200
793,9
794,-200
795,10
796,-200
797,7
798,-200
799,10
800,-200
801,12
802,-200
803,-200
804,8
805,-200
806,-200
807,-200
808,9
809,7
810,-200
811,-200
812,7
813,5
814,-200
815,11
816,-200
817,-200
818,-200
819,-200
820,6
821,-200
822,8
823,-200
824,-200
825,-200
826,7
827,-200
828,10
829,-200
830,8
831,-200
832,8
833,11
834,7
835,-200
836,9
837,8
838,10
839,14
840,9
841,-200
842,-200
843,10
844,-200
845,-200
846,9
847,11
848,8
849,4
850,-200
851,12
852,8
853,11
854,8
855,15
856,10
857,7
858,6
859,10
860,7
861,-200
862,8
863,-200
864,-200
865,7
866,4
867,-200
868,14
869,-200
870,-200
871,8
872,7
873,-200
874,4
875,9
876,-200
877,13
878,-200
879,8
880,-200
881,-200
882,10
883,9
884,8
885,10
886,-200
887,10
888,-200
889,11
890,13
891,-200
892,-200
893,-200
894,-200
895,12
896,5
897,-200
898,9
899,11
900,-200
901,9
902,-200
903,-200
904,4
905,7
906,5
907,-200
908,10
909,7
910,7
911,-200
912,-200
913,11
914,9
915,-200
916,11
917,13
918,-200
919,-200
920,-200
921,5
922,-200
923,14
924,-200
925,-200
926,-200
927,-200
928,9
929,10
930,-200
931,-200
932,-200
933,5
934,-200
935,9
936,13
937,7
938,-200
939,6
940,-200
941,-200
942,8
943,8
944,-200
945,-200
946,10
947,11
948,-200
949,-200
950,7
951,10
952,-200
953,5
954,-200
955,-200
956,9
957,10
958,-200
959,13
960,10
961,7
962,9
963,10
964,-200
965,-200
966,11
967,-200
968,6
969,-200
970,-200
971,-200
972,-200
973,-200
974,-200
975,3
976,6
977,-200
978,7
979,7
980,-200
981,9
982,-200
983,-200
984,-200
985,-200
986,4
987,6
988,6
989,-200
990,7
991,13
992,-200
993,11
994,-200
995,-200
996,-200
997,-200
998,13
999,10
