,results
0,100.88711505009239
1,174.53293104244034
2,100.3821033315339
3,4562.036121298499
4,339.524315073405
5,21521.42145279476
6,1318.9682995493142
7,8278.516963857186
8,17569.354118588868
9,692.6289785931302
10,5893.897196418711
11,569.5771669353128
12,174.90724366128666
13,1720.2620211250667
14,8044.596119421321
15,6469.941311796787
16,9292.1583496462
17,37645.17893962265
18,636.5898547453871
19,17775.460281625095
20,19929.99791206085
21,7384.836003651221
22,340.2536877423953
23,4078.9952001254214
24,5233.670382626574
25,9990.994646928353
26,16615.63136889249
27,11588.405359456698
28,6876.477351926303
29,965.3932747844555
30,453.03876771850577
31,19854.785391887235
32,475.94988067015987
33,3122.6792719802347
34,5098.223927720642
35,19237.150231113363
36,3559.809983213343
37,1111.9462145563223
38,2754.9199565700847
39,103.97675684102668
40,1320.8838722982866
41,4615.511090229254
42,4342.871064357212
43,8736.221887654647
44,4485.915670982779
45,109.23228247602981
46,5910.816965522784
47,170.98727031180937
48,506.1265814729136
49,33472.74103446879
50,1551.6398767264795
51,14471.982994448486
52,15463.59346748273
53,3410.825020084721
54,105.43306339945785
55,3919.13753404594
56,1177.8946944458155
57,3961.9751018563816
58,629.9502757674446
59,6669.97884809201
60,36495.02044435809
61,107.2732810415704
62,2291.6592546168567
63,4464.462621841873
64,1002.6849500689641
65,946.4838756322338
66,5418.285441623078
67,4456.742358824816
68,7967.54683126032
69,155.82721184306075
70,143.29980259931108
71,22617.418910023986
72,1906.6580435335081
73,20555.77803160986
74,16140.610901674654
75,3522.860212844052
76,1117.3951795804348
77,815.8975927164516
78,8978.114356532904
79,2426.208097149659
80,117.1995639151581
81,16956.632078699622
82,204.76966612909445
83,19790.60855350807
84,752.6500056076965
85,2120.7172696914204
86,11036.01625018889
87,16046.132946531305
88,9691.584095129165
89,1955.321995842605
90,1234.3509605703343
91,12488.737131345031
92,112.33361215159208
93,5463.0441014988555
94,6339.734359425979
95,280.0668365386856
96,4951.327280299374
97,7064.6108177770375
98,111.05864470383665
99,27515.363420681268
