,results
0,29783258542.9175
1,42290210565.92671
2,32276124238.384167
3,38724156807.18001
4,38849740874.322136
5,11369235327.642633
6,43636650537.58178
7,57151476732.48231
8,35338788610.07928
9,91330963980.11176
10,9087862963.691488
11,24789700219.771538
12,5275793077.711944
13,43708138122.25979
14,20571052834.357925
15,29375087246.25088
16,20148365077.918182
17,24375155200.771667
18,36614862246.36932
19,48163079804.26316
