,results
0,2698435623.8361883
1,22592.14599415152
2,38156923.1119882
3,1038789824.249872
4,9914482.37150666
5,167563755.92843702
6,2834641039.8721976
7,23345994.828827012
8,118475124.3886416
9,596581765.6778876
10,6779.129615087194
11,19383902.706566893
12,19138696.40155655
13,1327611140.463101
14,194454187.52160546
15,3674695.83132441
16,1391068496.9170334
17,9648641473.623354
18,81758066.0031836
19,3173757.9768179837
