,results
0,904.63272933568
1,957.9418331367972
2,900.0000000018218
3,926.6492171767486
4,900.0000165333646
5,900.6333805194587
6,900.0895282504165
7,900.9086480378467
8,900.0000000008057
9,911.6118290030862
10,909.9992265395067
11,903.5396636444503
12,902.8179115875668
13,903.7265747314832
14,900.0000000295393
15,900.0000000444506
16,935.3447163512835
17,900.4543258287409
18,911.2657974836484
19,911.2141309677365
20,928.5863733747474
21,926.1784979389098
22,905.1790539121293
23,947.3957528392414
24,909.0881181480834
25,932.9110841958279
26,902.880523127637
27,1018.1723220231578
28,901.8172749185637
29,901.7277469487424
30,905.5434655050555
31,900.4543240187255
32,909.9992346566979
33,902.9074398378079
34,900.0895282507063
35,901.727746756674
36,903.3234380812427
37,902.2242709774108
38,914.6324069962924
39,900.5438522730378
40,901.1527680964098
41,928.7548347560062
42,919.6000682651869
43,901.5175638645842
44,924.8837115489666
45,911.780476980771
46,914.5428784199468
47,917.9990975965959
48,911.7273630857833
49,903.909817354659
50,901.4525007345352
51,930.7000523767024
52,903.9744501432885
53,900.1790565608158
54,905.2244316043657
55,900.0000000015689
56,915.5864250185488
57,902.271598938963
58,903.5872430414901
59,900.0000001249964
60,900.0
61,914.3712189335114
62,905.8187491691618
63,962.5997419220889
64,902.8179117163345
65,906.4521134489803
66,918.3044983994185
67,902.7259665954534
68,911.0905669717613
69,900.0895282530383
70,912.1812979997903
71,922.3935073722934
72,912.4760406989609
73,907.7255604398224
74,903.7241307800089
75,900.0895282505289
76,900.0000000000008
77,1005.7890716506878
78,928.3495104112668
79,908.545003860504
80,907.7681106582912
81,900.0000000002065
82,900.0000000034809
83,907.1820529606866
84,900.5438522724216
85,901.7277466680363
86,900.4543240186308
87,900.0000022168492
88,900.6333805194358
89,941.7291997561479
90,930.701596149711
91,914.1331662215143
92,919.3363842461046
93,910.5164609739813
94,907.3611289204479
95,913.7622786383367
96,900.5438522690074
97,902.8179115873969
98,904.6352277857119
99,920.6047125019516
