,results
0,7189.571110554891
1,3180.984126413595
2,3280.227878732922
3,5227.611222258776
4,3273.9759323296375
5,8130.522738228037
6,5504.083478695563
7,4613.9613744005765
8,5435.501987006281
9,3095.962347080061
10,4745.218985505107
11,4024.3945966609226
12,2962.4110698859445
13,5294.378181205515
14,3839.5057977111696
15,6683.036780257492
16,5159.281455819867
17,5367.117757041421
18,2973.203856674965
19,7923.309831901347
20,4046.0001149659547
21,2868.8446115376005
22,2113.4992617021326
23,3218.0373298933796
24,3968.15674119105
25,6539.141892728866
26,3033.590544717297
27,7489.545369578278
28,2921.954630609288
29,3132.5090757011258
30,3972.6614620162627
31,2713.596319126906
32,4538.706092265282
33,2877.170875433569
34,2575.543382838514
35,4584.46312049814
36,4117.097416727138
37,3260.0146630663858
38,4308.4406673939775
39,3064.605982823522
40,3381.067921221079
41,3388.3833610365114
42,3843.8361856864376
43,2894.132585004205
44,2334.405556194135
45,3130.1326573953834
46,2195.8773529250693
47,3571.494196092515
48,3309.944572148343
49,3821.979048518368
50,2930.411371718587
51,3534.394138536995
52,4209.186913626254
53,4138.803818858589
54,3560.352764098478
55,7024.856651273599
56,4880.466402092124
57,2612.6483953630786
58,4726.690750964217
59,8183.53911377318
60,6385.055364552592
61,1849.099006580243
62,3456.4833127292045
63,5055.228713873663
64,7577.222335220937
65,2652.814400028885
66,4839.996547786774
67,8414.148311615747
68,3734.586168275045
69,3763.038193761687
70,4498.393245518516
71,3371.815907716441
72,2018.227763330971
73,2625.7202369636016
74,3456.0311509952626
75,3413.0421569704577
76,3820.981369940601
77,2789.6190359572884
78,1892.9399481209853
79,3398.398734702414
80,2971.4271853587834
81,2665.9304196444127
82,3287.181579333335
83,4447.858070751934
84,2888.1740339206426
85,7420.754253961402
86,6218.508197010797
87,4994.61993664002
88,4266.745992898135
89,2604.504754497433
90,9718.895349584462
91,3447.242680441952
92,3775.19768802328
93,3467.7556463941273
94,1758.9665900127147
95,4242.147129221814
96,2564.4147300464674
97,3385.3869379891817
98,4259.136938649509
99,3925.3601613798705
100,5166.044742244352
101,5798.838032953724
102,5886.872089621488
103,3080.49483323054
104,3523.0938917822646
105,3808.6631234115857
106,7951.4676110494875
107,6304.685497493414
108,4239.72533566414
109,4660.083146315956
110,3960.936756783309
111,4314.777023933003
112,3309.7375294154117
113,5367.825847154924
114,3726.8009702422382
115,6440.343250861875
116,2979.776031443093
117,7469.740009428359
118,4761.694097855767
119,3340.393929655694
120,4120.183021942514
121,4674.152273969648
122,5523.302767629447
123,5599.438635268437
124,1705.6863354996426
125,3213.16293619954
126,3978.3492508631325
127,3913.0881066422417
128,4050.4626721418417
129,2994.9634143156704
130,2331.279891896069
131,3755.9892002785277
132,5927.917664099233
133,3761.7059559768095
134,5418.7601997943875
135,3604.0274380506785
136,2229.4077312952227
137,2658.3510188299942
138,6734.825139611828
139,2121.168736041801
140,5848.0666033657835
141,5827.012975266279
142,8803.834825429145
143,3608.5415905097548
144,4705.205885344696
145,3340.5277863275733
146,3168.104464968486
147,3560.2406932971717
148,4265.369496257618
149,2461.9521304064083
150,2344.197735426142
151,2424.529499399984
152,4851.708379199578
153,4566.8192687616
154,3800.905709344251
155,3808.408022672569
156,1359.7549549805656
157,3452.0341720056185
158,3629.9850560685627
159,2546.025738040115
160,6809.406177968431
161,4567.6565056807385
162,3411.185462914743
163,5169.980541112346
164,3917.7610570540346
165,6183.406967523222
166,4145.680405928236
167,5027.601141680212
168,2183.3044314248473
169,5270.4375829928795
170,4278.304411038111
171,4118.338908691663
172,3970.928686423158
173,1755.0279554390088
174,4469.182471214584
175,2246.415058862448
176,3098.6960427242834
177,5251.411405008316
178,2911.4246965480097
179,4765.164477751476
180,5665.418114355447
181,3153.1895683843195
182,5361.793835137963
183,4209.831278433102
184,4909.046345950813
185,4549.163190475001
186,4165.226882568097
187,4940.775095358013
188,4176.128076801135
189,6225.653277874736
190,3939.7815410659427
191,2375.9739176310472
192,2444.8075969667802
193,2243.591216331818
194,3653.367653546445
195,5229.095024311341
196,7724.924111431584
197,6226.330381246088
198,5372.383603134372
199,9862.71150937573
200,2099.5065319540927
201,1536.2413615379703
202,2369.7914906189003
203,3140.465577452365
204,4942.509930851542
205,9504.8007291653
206,3419.2827412119555
207,3116.585802104854
208,3415.1437140506096
209,9297.823208434245
210,2924.159995000711
211,3929.3732513098125
212,3816.843149498728
213,2710.68737413129
214,5842.222229312607
215,3366.1089950464293
216,4503.682671608306
217,2106.020475936354
218,5959.801877729897
219,3859.7685239694524
220,2503.915983345468
221,2285.372967947298
222,3352.656356723441
223,8386.137313120158
224,3799.9640152474894
225,4699.1572064887
226,3747.685403549997
227,3324.3832872792927
228,5440.924633800625
229,2962.837168481999
230,4786.975012416882
231,4480.663141366776
232,5829.849855028087
233,7540.886750309702
234,3513.2667959013047
235,4430.7997277371305
236,4072.065303920945
237,3904.129918026424
238,4893.450249883896
239,1985.2767923205988
240,7232.105487198692
241,2780.290974757059
242,4330.7349071669305
243,4711.376278694992
244,2736.0604772730844
245,4902.653820500241
246,7421.813600922886
247,5754.620846280756
248,4263.898499335517
249,3086.1376392169395
250,2876.442315298027
251,4753.684072961478
252,1991.3446860120234
253,3235.385288158111
254,7103.078761854897
255,5428.86419722464
256,3730.704862470342
257,4052.553526530522
258,2787.7411015399584
259,3939.050020638536
