,results
0,900.0895282527273
1,945.3719576375997
2,900.4543240186607
3,901.8172749246941
4,900.0000000055949
5,907.2466857492788
6,935.0021255253786
7,900.1790572352422
8,903.2722356060268
9,913.1521257856136
10,901.8172749184497
11,952.1350177576203
12,922.2460356736219
13,901.7277533825849
14,903.9744501433443
15,903.789890934694
16,912.6304061172491
17,911.4553631749511
18,902.361274907813
19,902.8179115873903
